pidp,a_sex,a_dvage,a_ukborn,a_racel,a_hlht,a_hlhtf,a_hlhti,a_hlhtc,a_hlwt,a_hlwts,a_hlwtp,a_hlwtk,a_vote1,a_vote2,a_vote3,a_vote4,a_vote5,a_vote6
408537207,1,37,1,1,1,5,7,-8,1,9,6,-8,2,2,2,-8,2,4
408537211,2,44,1,1,1,5,4,-8,1,10,6,-8,2,2,6,-8,3,3
408537887,2,36,1,1,1,5,3,-8,1,12,0,-8,2,2,95,-8,-8,3
408537891,1,39,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408538567,1,23,1,1,1,5,11,-8,1,12,0,-8,2,1,-8,97,2,2
408539927,2,65,1,1,1,5,6,-8,1,13,0,-8,2,2,1,-8,3,3
408540607,1,23,1,4,1,5,8,-8,2,-8,-8,65,1,-8,-8,2,1,1
408541287,1,51,1,1,1,6,1,-8,1,12,5,-8,1,-8,-8,2,3,2
408541291,2,53,1,7,1,5,2,-8,1,9,8,-8,1,-8,-8,3,3,2
408541295,2,19,1,1,1,5,3,-8,1,8,0,-8,2,2,2,-8,3,4
408543327,2,74,1,1,1,5,2,-8,1,10,7,-8,1,-8,-8,1,3,2
408544007,2,33,5,1,1,5,3,-8,1,14,7,-8,1,-8,-8,3,2,2
408545367,2,25,1,1,1,5,5,-8,1,8,0,-8,2,2,-1,-8,-8,3
408546727,1,59,1,1,1,5,9,-8,1,10,4,-8,1,-8,-8,1,2,2
408546731,2,56,5,2,1,5,2,-8,2,-8,-8,61,1,-8,-8,1,3,2
408547407,1,52,1,1,1,6,2,-8,1,12,2,-8,1,-8,-8,3,3,1
408547411,2,51,1,1,1,5,5,-8,1,13,0,-8,1,-8,-8,2,3,2
408548087,1,47,1,1,1,5,9,-8,2,-8,-8,73,2,1,-8,1,3,1
408548091,2,45,1,1,1,5,6,-8,1,9,7,-8,2,2,3,-8,3,3
408549447,2,30,5,9,1,5,5,-8,2,-8,-8,70,2,2,95,-8,-8,4
408549451,2,21,5,4,2,-8,-8,167,2,-8,-8,53,2,2,96,-8,-8,4
408549455,1,30,5,4,2,-8,-8,189,2,-8,-8,84,2,2,96,-8,-8,4
408549459,2,22,5,4,2,-8,-8,172,2,-8,-8,64,2,2,96,-8,-8,4
408549463,2,24,1,14,1,5,7,-8,1,10,0,-8,2,1,-8,2,3,3
408550127,2,39,1,2,1,5,9,-8,1,13,0,-8,1,-8,-8,3,3,2
408552167,2,82,1,1,1,5,9,-8,1,11,0,-8,1,-8,-8,1,2,1
408555567,1,59,1,1,1,5,11,-8,1,11,7,-8,1,-8,-8,1,3,2
408555571,2,56,1,1,1,5,0,-8,-1,-8,-8,-8,1,-8,-8,1,2,2
408556247,2,79,1,1,1,5,4,-8,1,15,0,-8,1,-8,-8,1,2,1
408556251,1,82,1,1,1,5,4,-8,1,8,0,-8,1,-8,-8,1,1,1
408557607,1,69,1,1,1,6,0,-8,1,15,0,-8,1,-8,-8,2,1,2
408557611,2,67,1,1,1,5,10,-8,3,-8,-8,-8,2,1,-8,2,3,3
408558287,2,36,1,1,1,5,9,-8,1,10,7,-8,2,2,95,-8,-8,3
408558967,2,81,1,1,1,5,4,-8,1,9,7,-8,2,2,-1,-8,-8,2
408560327,2,73,1,1,1,5,4,-8,1,10,7,-8,2,2,1,-8,3,3
408563727,1,55,1,1,1,5,5,-8,1,12,8,-8,1,-8,-8,2,1,2
408563731,2,50,1,1,1,5,4,-8,1,11,9,-8,2,1,-8,3,3,2
408565087,2,61,1,1,1,5,5,-8,1,8,10,-8,2,2,1,-8,3,2
408565091,1,62,1,1,1,5,8,-8,1,11,7,-8,1,-8,-8,1,3,2
408566447,2,59,1,1,1,5,5,-8,1,11,7,-8,2,2,95,-8,-8,4
408567807,1,51,1,1,1,5,10,-8,1,11,0,-8,1,-8,-8,3,3,3
408567811,2,50,1,1,1,5,7,-8,1,11,7,-8,2,2,1,-8,3,3
408570527,1,32,5,4,2,-8,-8,186,2,-8,-8,105,2,2,95,-8,-8,3
408570531,2,28,5,4,2,-8,-8,170,2,-8,-8,55,2,2,96,-8,-8,3
408571887,2,37,1,1,1,5,7,-8,1,9,7,-8,1,-8,-8,2,3,3
408573927,2,37,1,1,1,5,5,-8,1,12,7,-8,2,2,95,-8,-8,4
408573931,1,37,3,1,1,5,7,-8,1,11,0,-8,2,2,95,-8,-8,4
408573935,2,16,1,1,1,5,0,-8,1,9,8,-8,2,2,96,-8,-8,4
408576647,1,39,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408576651,2,45,1,1,1,5,6,-8,1,11,4,-8,2,2,95,-8,-8,4
408577327,1,50,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408577331,2,49,1,1,1,5,7,-8,1,12,7,-8,2,2,1,-8,3,3
408577335,2,18,1,1,2,-8,-8,180,2,-8,-8,85,2,2,3,-8,3,2
408577339,2,16,1,1,1,5,5,-8,1,9,7,-8,2,2,96,-8,-8,2
408578007,1,70,1,1,1,5,10,-8,1,16,0,-8,2,1,-8,1,2,2
408578011,2,61,1,1,1,5,2,-8,1,11,5,-8,2,1,-8,1,3,2
408578691,2,42,1,1,1,5,3,-8,1,15,0,-8,2,2,95,-8,-8,2
408578695,1,16,1,1,1,5,8,-8,1,9,0,-8,2,2,96,-8,-8,3
408580047,2,80,3,1,1,5,3,-8,1,11,0,-8,2,1,-8,-1,-8,2
408582771,2,37,1,1,1,5,3,-8,1,9,7,-8,2,1,-8,2,3,4
408583447,1,73,1,1,1,5,8,-8,1,11,0,-8,2,1,-8,1,3,2
408583451,2,70,1,1,1,5,6,-8,1,9,1,-8,2,1,-8,1,3,2
408584807,1,49,1,1,1,5,7,-8,1,12,0,-8,1,-8,-8,1,3,2
408584811,2,33,3,1,1,5,6,-8,2,-8,-8,78,2,1,-8,-1,-8,4
408586167,1,35,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408586171,2,40,1,1,1,5,0,-8,1,8,0,-8,2,2,95,-8,-8,4
408586851,2,55,1,1,1,5,6,-8,1,11,5,-8,2,1,-8,2,3,4
408586855,2,17,2,1,1,5,3,-8,1,8,0,-8,2,2,96,-8,-8,3
408590927,2,30,5,14,1,5,1,-8,2,-8,-8,115,2,2,-1,-8,-8,3
408592287,1,36,1,1,1,5,5,-8,1,14,0,-8,2,2,95,-8,-8,4
408592291,2,41,5,1,1,5,5,-8,3,-8,-8,-8,2,2,-1,-8,-8,4
408592967,2,35,1,1,1,5,5,-8,1,10,6,-8,2,2,95,-8,-8,3
408592971,1,46,1,1,1,5,11,-8,1,15,0,-8,2,2,1,-8,3,2
408594327,2,37,1,1,1,5,6,-8,1,18,0,-8,2,2,97,-8,3,1
408595687,1,29,1,1,1,5,10,-8,1,13,7,-8,2,2,6,-8,3,1
408595691,2,27,1,1,1,5,4,-8,1,15,7,-8,2,2,95,-8,-8,4
408596367,1,46,1,1,1,6,1,-8,1,15,7,-8,2,2,95,-8,-8,4
408596371,2,39,3,1,1,5,4,-8,1,13,2,-8,2,2,96,-8,-8,4
408597727,1,35,1,2,1,5,7,-8,1,12,0,-8,2,2,95,-8,-8,4
408597731,2,31,1,1,1,5,4,-8,1,9,10,-8,2,2,95,-8,-8,3
408599767,2,78,5,4,1,5,3,-8,1,9,13,-8,1,-8,-8,1,2,3
408600447,1,56,1,1,1,5,8,-8,2,-8,-8,69,2,1,-8,3,3,2
408600451,2,56,1,1,1,5,2,-8,1,9,7,-8,2,2,95,-8,-8,3
408600455,1,24,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408601127,2,47,1,1,1,5,5,-8,3,-8,-8,-8,1,-8,-8,1,2,3
408601131,1,40,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408602487,1,57,1,1,1,5,6,-8,1,11,2,-8,2,1,-8,1,3,1
408602491,2,57,1,1,1,5,2,-8,1,10,1,-8,1,-8,-8,1,3,3
408603167,1,61,1,1,1,6,0,-8,1,14,0,-8,2,2,95,-8,-8,1
408603171,2,62,1,1,1,5,1,-8,1,11,5,-8,2,2,95,-8,-8,4
408603847,2,51,1,1,1,5,4,-8,1,16,0,-8,1,-8,-8,2,1,2
408605207,2,56,1,1,1,5,5,-8,1,8,10,-8,1,-8,-8,3,2,3
408605211,1,62,1,1,1,6,2,-8,1,12,7,-8,1,-8,-8,3,2,1
408605887,1,55,1,1,1,6,0,-8,1,15,0,-8,1,-8,-8,1,3,3
408605891,2,49,1,1,1,5,7,-8,1,10,7,-8,1,-8,-8,1,3,3
408606567,2,82,1,1,1,5,6,-8,1,11,0,-8,2,2,1,-8,3,3
408607247,1,74,1,1,1,5,8,-8,1,11,8,-8,2,1,-8,1,3,1
408607251,2,73,1,1,1,5,2,-8,1,11,7,-8,1,-8,-8,1,3,3
408607927,1,53,1,1,1,6,0,-8,1,13,7,-8,1,-8,-8,1,3,2
408607931,2,52,1,1,1,5,2,-8,1,10,10,-8,1,-8,-8,1,2,2
408607935,2,19,1,1,1,5,7,-8,1,9,0,-8,2,1,-8,1,3,3
408610647,1,62,1,1,1,5,6,-8,1,11,12,-8,2,1,-8,1,3,3
408610651,2,62,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408611327,1,54,1,1,2,-8,-8,193,1,16,0,-8,2,2,95,-8,-8,1
408611331,2,50,1,1,1,5,4,-8,1,16,0,-8,2,2,95,-8,-8,1
408611335,1,23,1,1,2,-8,-8,195,1,12,0,-8,2,2,1,-8,3,3
408612687,1,74,1,1,1,5,9,-8,1,17,0,-8,1,-8,-8,1,3,2
408612691,2,73,1,1,1,5,6,-8,1,11,0,-8,2,2,97,-8,3,3
408613367,2,65,1,1,1,5,1,-8,1,9,0,-8,2,2,95,-8,-8,2
408614727,2,79,1,1,1,5,3,-8,1,12,0,-8,2,2,95,-8,-8,1
408615407,2,79,1,1,1,5,2,-8,1,11,0,-8,1,-8,-8,97,2,2
408616087,1,69,1,1,1,5,9,-8,1,13,0,-8,1,-8,-8,1,1,2
408616091,2,67,1,1,1,5,3,-8,1,9,5,-8,1,-8,-8,1,2,2
408616767,2,50,1,1,1,5,8,-8,1,12,12,-8,2,1,-8,2,3,3
408617447,1,56,2,1,1,5,9,-8,1,16,0,-8,2,1,-8,1,3,3
408617451,2,52,1,1,1,5,6,-8,1,9,7,-8,2,2,3,-8,3,2
408618127,1,75,1,1,1,5,8,-8,1,12,7,-8,1,-8,-8,1,3,2
408618131,2,74,1,1,1,4,11,-8,1,9,0,-8,2,2,3,-8,3,2
408618807,2,82,1,1,3,-8,-8,-8,3,-8,-8,-8,2,1,-8,3,2,1
408620167,1,73,1,1,1,5,10,-8,1,11,7,-8,1,-8,-8,2,1,2
408622891,2,30,1,1,1,5,11,-8,1,13,7,-8,2,2,97,-8,4,4
408623567,1,61,1,1,1,6,0,-8,1,10,7,-8,1,-8,-8,3,2,2
408626287,2,84,1,1,1,5,4,-8,1,12,6,-8,1,-8,-8,1,2,2
408626291,2,53,1,1,1,5,2,-8,1,8,11,-8,2,1,-8,6,3,3
408626967,1,34,1,1,1,5,10,-8,1,10,2,-8,1,-8,-8,1,2,2
408626971,1,39,1,1,1,5,7,-8,1,10,13,-8,1,-8,-8,1,2,2
408627647,2,48,5,8,2,-8,-8,163,2,-8,-8,66,1,-8,-8,2,3,2
408627655,1,16,5,8,1,5,8,-8,2,-8,-8,64,2,1,-8,3,3,4
408628327,1,25,5,4,2,-8,-8,186,2,-8,-8,89,1,-8,-8,2,1,1
408628331,2,22,5,4,2,-8,-8,175,2,-8,-8,85,1,-8,-8,1,1,2
408628335,1,24,5,4,2,-8,-8,203,2,-8,-8,115,2,1,-8,1,3,1
408633087,2,50,5,1,1,5,4,-8,1,11,0,-8,2,2,3,-8,3,3
408633091,2,22,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408635127,1,40,1,1,1,6,5,-8,1,18,9,-8,1,-8,-8,1,2,2
408635131,2,58,1,1,1,5,4,-8,1,10,5,-8,1,-8,-8,1,2,2
408635807,1,40,1,1,1,5,7,-8,2,-8,-8,83,1,-8,-8,1,2,2
408637167,1,75,5,1,1,5,6,-8,3,-8,-8,-8,1,-8,-8,3,2,2
408637171,2,74,1,1,1,5,3,-8,1,10,12,-8,1,-8,-8,3,2,1
408638527,2,43,1,1,1,5,5,-8,1,8,0,-8,2,1,-8,3,3,2
408638531,1,46,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408639207,2,80,1,1,1,5,6,-8,1,10,7,-8,2,2,95,-8,-8,2
408641927,2,38,1,1,1,5,9,-8,1,8,7,-8,2,1,-8,3,3,3
408641931,1,36,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408643287,2,51,1,1,1,5,3,-8,1,11,7,-8,2,2,-1,-8,-8,4
408643291,1,53,1,1,1,5,8,-8,1,13,7,-8,2,2,95,-8,-8,4
408643295,2,19,1,1,1,5,8,-8,1,12,7,-8,2,2,-1,-8,-8,4
408643967,2,28,1,8,1,5,2,-8,1,8,0,-8,2,2,95,-8,-8,4
408647367,1,46,1,1,1,5,8,-8,1,12,3,-8,2,2,97,-8,3,3
408647371,2,46,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408649407,2,84,1,1,1,5,6,-8,1,9,10,-8,1,-8,-8,-1,-8,2
408650087,1,48,1,1,1,5,10,-8,1,12,0,-8,2,1,-8,2,3,2
408650767,1,73,1,1,1,5,11,-8,1,13,5,-8,2,1,-8,3,3,3
408652807,2,43,5,1,1,5,3,-8,1,8,0,-8,2,2,3,-8,3,3
408654847,2,81,1,1,1,5,6,-8,1,9,0,-8,2,1,-8,-1,-8,1
408656207,1,65,1,1,1,6,2,-8,1,11,3,-8,2,2,97,-8,3,3
408656211,2,63,1,1,1,5,4,-8,2,-8,-8,71,2,2,3,-8,3,3
408656887,1,44,1,1,1,6,2,-8,1,10,7,-8,2,2,-1,-8,-8,2
408656891,1,44,1,1,1,6,1,-8,1,15,7,-8,2,1,-8,2,3,3
408657567,1,33,2,1,1,6,2,-8,1,13,5,-8,2,2,-1,-8,-8,2
408657571,2,34,1,1,1,5,6,-8,1,8,12,-8,2,2,6,-8,3,4
408659607,2,93,1,1,1,5,0,-8,1,5,12,-8,2,1,-8,1,3,4
408660287,1,65,1,1,1,5,9,-8,1,10,0,-8,2,2,97,-8,4,2
408660967,2,86,1,1,1,5,3,-8,1,-1,-8,-8,1,-8,-8,1,3,2
408661647,2,81,1,1,1,5,1,-8,1,9,0,-8,1,-8,-8,1,3,3
408661651,1,86,1,1,1,5,6,-8,1,12,9,-8,1,-8,-8,1,1,1
408663687,2,41,1,1,1,5,9,-8,3,-8,-8,-8,2,2,3,-8,3,3
408663691,1,48,1,1,2,-8,-8,180,1,14,8,-8,2,1,-8,2,3,3
408664367,2,40,1,1,1,5,5,-8,1,10,6,-8,2,2,2,-8,3,3
408664371,1,38,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408665727,2,91,1,1,1,5,0,-8,1,8,7,-8,1,-8,-8,1,1,2
408666407,1,22,1,1,1,5,7,-8,1,11,3,-8,2,1,-8,6,3,1
408667087,2,27,3,1,1,5,6,-8,2,-8,-8,57,2,1,-8,2,2,2
408667767,2,56,1,1,1,5,4,-8,1,9,12,-8,2,1,-8,6,3,2
408667771,1,56,1,1,1,5,11,-8,1,11,3,-8,2,1,-8,6,3,2
408667775,2,16,1,1,1,5,9,-8,1,9,0,-8,2,1,-8,6,3,2
408668447,2,48,1,1,1,5,6,-8,1,14,0,-8,2,1,-8,2,3,3
408669127,1,52,1,1,1,5,11,-8,2,-8,-8,88,1,-8,-8,1,3,1
408669131,2,58,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408669135,1,18,1,1,1,5,9,-8,2,-8,-8,70,2,2,6,-8,3,2
408669807,2,60,1,1,1,5,3,-8,1,10,7,-8,1,-8,-8,2,2,1
408671167,1,89,1,1,1,5,10,-8,1,12,10,-8,2,2,95,-8,-8,4
408673207,2,46,5,1,1,5,6,-8,1,9,7,-8,2,1,-8,6,2,1
408673211,1,53,1,1,1,6,5,-8,1,18,0,-8,2,1,-8,2,3,2
408673215,1,19,1,1,1,6,0,-8,1,11,0,-8,1,-8,-8,3,3,3
408675927,2,43,1,1,1,5,7,-8,1,12,7,-8,2,2,95,-8,-8,4
408675931,1,31,5,1,2,-8,-8,167,2,-8,-8,76,2,2,95,-8,-8,4
408676607,2,75,1,1,1,4,5,-8,1,10,0,-8,1,-8,-8,1,1,2
408676611,1,75,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408677967,1,63,1,1,1,5,9,-8,1,14,8,-8,2,1,-8,2,3,3
408678647,1,47,1,1,1,5,7,-8,1,12,7,-8,2,2,2,-8,3,3
408679327,2,48,1,1,1,5,5,-8,-2,-8,-8,-8,1,-8,-8,1,3,3
408679331,1,17,1,1,1,6,2,-8,1,14,0,-8,2,2,1,-8,3,3
408681367,1,65,1,1,3,-8,-8,-8,1,14,4,-8,2,2,1,-8,3,4
408682047,1,35,2,1,1,5,10,-8,1,14,7,-8,2,2,95,-8,-8,4
408682727,2,36,1,1,1,5,3,-8,1,9,3,-8,2,1,-8,2,3,3
408682731,1,38,1,1,1,5,10,-8,1,12,0,-8,2,2,6,-8,3,3
408684087,2,38,1,1,1,5,0,-8,1,12,6,-8,2,2,95,-8,-8,3
408684091,1,40,1,1,1,5,8,-8,1,13,0,-8,2,2,6,-8,3,4
408684767,1,60,1,1,1,5,11,-8,1,18,7,-8,1,-8,-8,3,3,2
408684771,2,59,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408686127,2,41,1,1,1,5,4,-8,1,10,6,-8,2,2,95,-8,-8,2
408686807,1,54,1,1,1,5,8,-8,1,12,7,-8,1,-8,-8,97,3,4
408688847,1,36,1,1,1,5,9,-8,1,12,8,-8,2,1,-8,1,2,2
408690887,2,44,1,1,1,5,1,-8,1,8,0,-8,1,-8,-8,2,2,2
408691567,2,67,1,1,1,5,5,-8,1,10,8,-8,1,-8,-8,1,1,1
408692927,1,27,1,1,1,5,8,-8,2,-8,-8,115,2,2,1,-8,3,1
408692931,2,20,1,1,1,5,7,-8,3,-8,-8,-8,2,2,1,-8,2,3
408694287,2,35,1,1,1,5,6,-8,1,9,10,-8,2,1,-8,1,3,3
408694967,1,40,1,97,1,5,6,-8,2,-8,-8,65,2,2,95,-8,-8,1
408696327,2,57,1,1,1,5,0,-8,1,11,0,-8,2,2,95,-8,-8,4
408696331,1,58,1,1,1,5,7,-8,1,11,3,-8,2,2,95,-8,-8,4
408696335,1,24,1,1,1,5,7,-8,1,11,8,-8,2,2,6,-8,3,3
408696339,1,16,1,1,1,5,9,-8,1,9,0,-8,2,2,95,-8,-8,4
408697007,1,42,1,1,1,6,0,-8,1,14,0,-8,2,2,95,-8,-8,4
408697687,1,56,5,12,1,5,4,-8,2,-8,-8,62,2,2,95,-8,-8,4
408699727,1,43,1,1,1,5,8,-8,1,10,1,-8,2,1,-8,2,3,2
408699731,2,34,1,1,1,5,4,-8,1,10,6,-8,2,1,-8,3,3,3
408702447,2,61,1,1,1,5,5,-8,1,11,7,-8,1,-8,-8,2,2,4
408702451,1,61,1,1,1,6,0,-8,2,-8,-8,65,1,-8,-8,2,3,2
408702455,1,30,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408704487,1,43,1,1,1,6,0,-8,1,13,4,-8,1,-8,-8,1,1,1
408705847,1,67,1,1,1,5,10,-8,1,12,0,-8,2,1,-8,97,3,3
408707887,2,60,1,1,1,5,4,-8,1,6,5,-8,1,-8,-8,1,2,2
408707891,1,59,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408709247,2,26,5,4,1,5,6,-8,1,10,0,-8,2,2,95,-8,-8,4
408709251,1,27,1,1,1,6,0,-8,1,14,7,-8,2,2,95,-8,-8,4
408709927,2,59,1,1,1,5,6,-8,1,16,5,-8,2,2,95,-8,-8,4
408709931,2,26,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408711967,1,40,3,1,1,5,11,-8,1,18,0,-8,2,1,-8,3,3,2
408713327,1,53,1,1,1,5,11,-8,1,13,4,-8,2,2,97,-8,4,2
408713331,2,55,1,1,1,4,11,-8,1,9,7,-8,1,-8,-8,2,2,4
408716047,1,48,1,1,1,5,8,-8,1,12,0,-8,2,1,-8,3,3,2
408716727,2,41,5,4,2,-8,-8,167,2,-8,-8,48,2,2,95,-8,-8,4
408716731,2,36,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408716735,1,16,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408718767,1,29,5,4,2,-8,-8,173,2,-8,-8,90,2,2,95,-8,-8,2
408718771,2,31,5,4,2,-8,-8,162,2,-8,-8,50,2,2,95,-8,-8,4
408720807,1,49,1,1,1,6,0,-8,1,14,6,-8,2,2,95,-8,-8,3
408721487,2,77,5,4,1,5,2,-8,1,13,7,-8,1,-8,-8,2,3,3
408722167,1,42,5,4,2,-8,-8,182,2,-8,-8,72,2,2,95,-8,-8,4
408722171,2,46,5,4,2,-8,-8,158,2,-8,-8,70,2,2,95,-8,-8,4
408722175,1,22,5,4,2,-8,-8,190,2,-8,-8,100,2,2,-1,-8,-8,4
408722847,1,38,1,1,1,5,7,-8,1,7,7,-8,2,2,2,-8,3,2
408722851,2,33,5,15,1,5,6,-8,2,-8,-8,76,1,-8,-8,2,2,2
408725567,1,47,1,1,1,5,7,-8,1,10,7,-8,1,-8,-8,1,3,2
408725571,2,48,1,1,1,5,2,-8,1,11,12,-8,2,1,-8,2,2,2
408725575,2,17,1,1,1,5,7,-8,1,9,0,-8,2,1,-8,2,3,4
408726927,2,45,5,4,2,-8,-8,152,2,-8,-8,62,2,2,95,-8,-8,4
408726931,1,16,5,4,2,-8,-8,170,2,-8,-8,56,1,-8,-8,2,2,2
408730331,2,39,1,1,1,5,7,-8,1,8,7,-8,2,1,-8,2,3,3
408731007,2,30,5,4,2,-8,-8,164,2,-8,-8,52,2,2,95,-8,-8,2
408731011,2,30,5,4,2,-8,-8,169,2,-8,-8,58,2,2,3,-8,3,2
408733047,1,58,1,1,1,5,6,-8,1,13,7,-8,1,-8,-8,1,2,2
408733051,2,64,1,1,1,5,2,-8,1,11,0,-8,2,2,97,-8,3,2
408735087,2,80,1,1,1,5,9,-8,1,8,7,-8,1,-8,-8,1,3,3
408735767,2,85,1,1,1,5,3,-8,1,9,5,-8,1,-8,-8,1,3,2
408736447,1,30,5,11,1,5,7,-8,2,-8,-8,74,2,2,2,-8,3,2
408736451,2,25,5,11,1,5,1,-8,2,-8,-8,50,2,2,95,-8,-8,2
408738487,2,47,1,1,1,5,3,-8,1,10,7,-8,2,1,-8,1,3,2
408739847,1,84,1,1,1,6,0,-8,1,15,7,-8,1,-8,-8,1,3,3
408739851,2,82,1,1,1,5,3,-8,1,10,0,-8,1,-8,-8,1,2,2
408743247,2,61,1,1,1,5,2,-8,1,8,8,-8,2,1,-8,2,3,2
408744607,1,58,1,1,1,5,7,-8,2,-8,-8,131,2,2,-2,-8,-8,-2
408745287,2,47,1,1,1,5,7,-8,1,9,7,-8,2,2,1,-8,3,2
408745967,2,84,1,1,1,5,4,-8,2,-8,-8,50,1,-8,-8,3,3,2
408746647,2,72,5,4,3,-8,-8,-8,1,9,7,-8,2,2,95,-8,-8,4
408747327,1,26,1,1,1,5,8,-8,2,-8,-8,68,2,2,1,-8,3,2
408748687,1,43,5,9,2,-8,-8,166,2,-8,-8,72,2,1,-8,2,3,3
408748691,2,41,5,9,1,5,3,-8,2,-8,-8,58,1,-8,-8,2,3,3
408749367,2,32,1,1,1,5,6,-8,1,9,8,-8,2,2,95,-8,-8,3
408749371,1,34,2,1,1,6,0,-8,1,13,8,-8,2,2,95,-8,-8,4
408750047,2,27,1,1,1,5,0,-8,1,11,0,-8,2,2,95,-8,-8,4
408750051,1,30,1,1,1,6,0,-8,1,18,0,-8,2,1,-8,2,2,2
408750727,2,36,1,1,1,5,5,-8,1,9,0,-8,2,2,95,-8,-8,4
408750731,1,37,1,1,1,5,9,-8,1,12,8,-8,1,-8,-8,2,3,2
408752087,2,43,1,1,1,5,8,-8,-2,-8,-8,-8,2,2,95,-8,-8,3
408752091,1,36,1,1,2,-8,-8,179,2,-8,-8,92,2,2,1,-8,3,4
408753447,1,81,1,1,1,5,6,-8,1,12,0,-8,1,-8,-8,1,2,2
408756167,1,46,1,1,1,5,9,-8,1,10,8,-8,2,2,2,-8,3,3
408756847,1,36,1,1,1,6,0,-8,1,12,10,-8,2,1,-8,6,3,2
408756851,2,35,5,1,1,5,7,-8,1,8,0,-8,1,-8,-8,2,2,1
408757527,1,48,1,1,1,5,7,-8,1,14,5,-8,2,2,6,-8,3,3
408757531,2,43,1,1,1,4,4,-8,1,9,8,-8,2,2,3,-8,3,3
408758887,2,43,1,1,1,5,2,-8,1,9,10,-8,1,-8,-8,1,3,3
408758891,1,43,1,1,1,5,9,-8,1,14,10,-8,1,-8,-8,1,2,1
408758895,2,16,1,1,1,5,5,-8,1,11,0,-8,2,2,96,-8,-8,2
408759567,2,54,1,1,1,5,0,-8,1,8,7,-8,1,-8,-8,3,2,3
408759571,2,20,1,1,2,-8,-8,168,2,-8,-8,71,1,-8,-8,97,3,3
408760927,1,56,5,2,1,6,1,-8,1,12,2,-8,2,2,95,-8,-8,1
408760931,2,55,1,1,1,5,7,-8,1,11,0,-8,2,2,3,-8,3,2
408761607,2,41,5,17,1,5,5,-8,1,7,0,-8,2,2,3,-8,3,4
408761611,1,42,1,1,1,5,7,-8,1,10,10,-8,2,2,3,-8,3,3
408764327,2,33,1,1,1,5,5,-8,1,9,7,-8,-2,-8,-8,-8,-8,2
408765007,2,63,1,1,1,5,3,-8,1,10,0,-8,2,1,-8,1,4,1
408765011,1,61,1,1,1,6,0,-8,1,17,0,-8,2,2,1,-8,3,1
408767727,2,73,5,1,1,5,5,-8,1,8,0,-8,1,-8,-8,3,3,3
408769087,2,40,1,1,1,5,2,-8,-1,-8,-8,-8,1,-8,-8,1,2,2
408770447,2,49,1,1,1,5,4,-8,1,12,0,-8,2,1,-8,1,2,1
408770451,1,46,1,1,1,5,8,-8,2,-8,-8,94,1,-8,-8,1,3,4
408771127,2,39,1,1,1,5,2,-8,1,12,7,-8,2,1,-8,3,3,3
408772487,1,65,1,1,1,5,4,-8,1,13,0,-8,2,2,95,-8,-8,3
408772491,2,62,1,1,1,5,0,-8,1,11,0,-8,2,2,97,-8,3,4
408773167,2,56,1,1,1,5,7,-8,1,11,7,-8,2,1,-8,1,3,4
408773171,1,61,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
408774527,1,68,5,14,1,5,10,-8,1,12,0,-8,2,2,1,-8,3,2
408774531,2,63,5,14,1,5,3,-8,1,10,0,-8,2,2,1,-8,3,3
408775887,2,36,1,1,1,5,3,-8,1,9,12,-8,2,1,-8,1,2,2
408777247,1,47,1,1,1,5,2,-8,1,9,0,-8,2,2,2,-8,2,3
408777251,2,38,1,1,1,5,4,-8,1,15,0,-8,2,2,95,-8,-8,4
